RU000A102QJ7,Банк ВТБ ПАО СУБ-Т1-1,ВТБСУБТ1-1,Bank VTB SUB-T1-1,150000.0,USD,2021-02-08,RU000A102QJ7,5500,stock_bonds,,3739.73,,corporate_bond
RU000A101S08,Республика Казахстан 12,Казахст12,Republic of Kazakhstan 12,1000.0,SUR,2021-06-28,RU000A101S08,10000000,stock_bonds,2031-06-16,39.49,,ofz_bond
RU000A1032J4,Агрохолдинг Солтон БО-01,Солтон Б1,Solton BO-01,1000.0,SUR,2021-04-30,RU000A1032J4,60000,stock_bonds,2024-04-14,10.68,,exchange_bond
RU000A0JWZY6,"АФК ""Система"" ПАО БО-001P-05",СистемБ1P5,AFK Systema 001P-05,1000.0,SUR,2016-11-25,RU000A0JWZY6,10000000,stock_bonds,2026-11-13,17.08,,exchange_bond
RU000A101NG2,Мобильные ТелеСистемы 001P-15,МТС 1P-15,MTS 001P-15,1000.0,SUR,2020-05-14,RU000A101NG2,5000000,stock_bonds,2026-11-05,16.45,,exchange_bond
RU000A1005Y9,РОЛЬФ АО БО 001Р-01,РОЛЬФ 1Р01,ROLF JSC BO 001P-01,1000.0,SUR,2019-03-12,RU000A1005Y9,2150707,stock_bonds,2022-03-08,26.05,,exchange_bond
RU000A102887,Банк ВТБ ПАО СУБ-Т2-2,ВТБСУБТ2-2,Bank VTB SUB-T2-2,1.0E7,SUR,2020-10-14,RU000A102887,2000,stock_bonds,2031-04-02,446273.97,,corporate_bond
XS2009879425,BCS SP Plc Series 45,BCS06/24-5,BCS SP Plc Series 45,1250.0,USD,2019-06-07,XS2009879425,8000,stock_bonds,2024-06-30,39.16952,,corporate_bond
RU000A102MA5,ГСП-Финанс 02,ГСП-Ф 02,GSP-Finance 02,1000.0,SUR,2020-12-29,RU000A102MA5,225200000,stock_bonds,2028-03-27,21.64,,corporate_bond
XS2244322322,BCS SP Plc Series 121,BCS12/25-6,BCS SP Plc Series 121,100000.0,SUR,2020-10-16,XS2244322322,10000,stock_bonds,2025-12-30,4512.3287,,corporate_bond
RU000A0ZZ877,КАМАЗ ПАО об. БО-10,КАМАЗ БО10,KAMAZ PTC BO-10,1000.0,SUR,2018-05-29,RU000A0ZZ877,3000000,stock_bonds,2033-05-10,45.38,,corporate_bond
RU000A0JULC6,РОСБАНК ПАО обл.БСО-15,РосбнБСО15,Rosbank BSO-15,1000.0,SUR,2014-04-30,RU000A0JULC6,3000000,stock_bonds,2024-04-30,0.03,,exchange_bond
XS0290580595,GAZ CAPITAL SA 6.5100 07/03/22,GAZ-22,GAZ CAPITAL SA 6.5100 07/03/22,1000.0,USD,2007-03-07,XS0290580595,1300000,stock_bonds,2022-03-07,32.55,,corporate_bond
RU000A0JUCR3,ПАО НК Роснефть БО-06,РоснефтьБ6,Rosneft  BO-06,1000.0,SUR,2013-12-23,RU000A0JUCR3,20000000,stock_bonds,2023-12-11,33.16,,exchange_bond
RU000A0JUD34,Вост.-Сиб.ипот.агент 2012 кл.Б,ВСИА2012 Б,East.-Sib.mort.agent 2012 B,840.84,SUR,2013-12-24,RU000A0JUD34,82924,stock_bonds,2046-08-11,23.31,,corporate_bond
RU000A100BR6,Сбербанк ПАО ИОС 001P-79R,СберИОС79,Sberbank IOS 001P-79R,1000.0,SUR,2019-05-07,RU000A100BR6,198913,stock_bonds,2022-11-14,47.6,,exchange_bond
RU000A102HX7,Концерн РОССИУМ ООО 002P-03,РОССИУМ2P3,Concern ROSSIUM 002P-03,1000.0,SUR,2020-12-16,RU000A102HX7,10000000,stock_bonds,2030-12-04,33.66,,exchange_bond
RU000A1014S3,ХК Новотранс 001P-01,Новотр 1Р1,HC Novotrans 001P-01,1000.0,SUR,2019-12-04,RU000A1014S3,6000000,stock_bonds,2024-11-27,21.82,,exchange_bond
RU000A101541,Ростелеком ПАО 002P-01R,Ростел2P1R,Rostelecom 002P-01R,1000.0,SUR,2019-12-05,RU000A101541,10000000,stock_bonds,2025-11-27,34.16,,exchange_bond
RU000A103Y57,СберИОС 001Р-485R 5Г IMOEX,СберИОС485,SberIOS 001P-485R 5Y IMOEX,1000.0,SUR,2021-11-15,RU000A103Y57,315384,stock_bonds,2026-11-13,0.1,,exchange_bond
RU000A103PD0,Славнефть БО 002Р-01,Славнеф2Р1,SLAVNEFT 002P-01,1000.0,SUR,2021-09-14,RU000A103PD0,5000000,stock_bonds,2031-09-02,19.32,,exchange_bond
XS2381361646,BCS SP Plc Series 208,BCS09/24-3,BCS SP Plc Series 208,100000.0,SUR,2021-08-27,XS2381361646,800,stock_bonds,2024-09-09,0.0,,corporate_bond
RU000A103TL5,СберИОС 001Р-409R 5Г IMOEX,СберИОС409,SberIOS 001P-409R 5Y IMOEX,1000.0,SUR,2021-10-14,RU000A103TL5,132889,stock_bonds,2026-10-09,0.1,,exchange_bond
RU000A100691,ВБРР 001P-03,ВБРР 1P-03,Bank RRDB 1P-03,1000.0,SUR,2019-03-15,RU000A100691,5000000,stock_bonds,2024-03-08,12.47,,exchange_bond
XS2072914125,BCS SP Plc Series 63,BCS12/24-4,BCS SP Plc Series 63,100000.0,SUR,2019-11-12,XS2072914125,6000,stock_bonds,2024-12-30,7019.178,,corporate_bond
RU000A100FZ0,КИСТОЧКИ Финанс ООО БО-П01,КИСТФ БОП1,KISTOCHKI Finance LLC BO-P01,10000.0,SUR,2019-06-18,RU000A100FZ0,4000,stock_bonds,2022-06-02,123.29,,exchange_bond
RU000A102879,Банк ВТБ ПАО СУБ-Т2-1,ВТБСУБТ2-1,Bank VTB SUB-T2-1,1.0E7,SUR,2020-10-14,RU000A102879,7000,stock_bonds,2031-04-02,378958.9,,corporate_bond
USP4173SAF13,Financiera Independencia 07/24,FI-24,Financiera Independencia 07/24,1000.0,USD,2017-07-19,USP4173SAF13,250000,stock_bonds,2024-07-19,40.0,,corporate_bond
XS2332228449,BCS SP Plc Series 165,BCS11/26,BCS SP Plc Series 165,1250.0,USD,2021-04-14,XS2332228449,8000,stock_bonds,2026-11-19,0.0,,corporate_bond
RU000A0JWNB0,РОСБАНК ПАО обл. БО-26,РосбанкБ26,RosbankBO-26,1000.0,SUR,2016-07-21,RU000A0JWNB0,7000000,stock_bonds,2026-07-21,38.56,,exchange_bond
RU000A101F52,Банк ВТБ (ПАО) Б-1-51,ВТБ Б-1-51,Bank VTB B-1-51,1000.0,SUR,2020-02-18,RU000A101F52,179874,stock_bonds,2023-02-14,0.05,,exchange_bond
RU000A100FY3,Круиз ООО БО-П03,Круиз БОП3,Cruise BO-P03,10000.0,SUR,2019-06-19,RU000A100FY3,5000,stock_bonds,2022-06-03,98.63,,exchange_bond
RU000A1032H8,Банк ВТБ (ПАО) Б-1-205,ВТБ Б1-205,Bank VTB B-1-205,1000.0,SUR,2021-05-04,RU000A1032H8,11893584,stock_bonds,2022-05-03,13.59,,exchange_bond
RU000A0JTDX1,ДОМ.РФ (АО) обл. сер.А24,ДОМ.РФ24об,DOM.RF - 24,500.0,SUR,2012-12-05,RU000A0JTDX1,6000000,stock_bonds,2022-11-01,9.45,,corporate_bond
RU000A0JUCS1,ПАО НК Роснефть БО-05,РоснефтьБ5,Rosneft  BO-05,1000.0,SUR,2013-12-23,RU000A0JUCS1,20000000,stock_bonds,2023-12-11,33.16,,exchange_bond
RU000A0ZZV11,ГТЛК БО 001P-12,ГТЛК 1P-12,STLC BO 001P-12,1000.0,SUR,2018-11-23,RU000A0ZZV11,5000000,stock_bonds,2033-11-04,22.69,,exchange_bond
RU000A0ZYVU5,ПАО НК Роснефть 002P-05,Роснфт2P5,Rosneft 002P-05,1000.0,SUR,2018-03-02,RU000A0ZYVU5,20000000,stock_bonds,2028-02-18,36.4,,exchange_bond
RU000A101137,Газпром нефть БО 003Р-01R,Газпнф3P1R,Gazprom Neft 003P-01R,1000.0,SUR,2019-11-12,RU000A101137,25000000,stock_bonds,2024-11-05,17.08,,exchange_bond
RU000A102QP4,РЖД БО 001Р-21R,РЖД 1Р-21R,RZD BO 001P-21R,1000.0,SUR,2021-02-08,RU000A102QP4,20000000,stock_bonds,2027-06-11,34.16,,exchange_bond
RU000A103LC1,НТ-Финанс обК01,НТ-Финанс обК01,NT-Finans obK01,1000.0,RUB,,RU000A103LC1,100000000,stock_bonds,2024-08-23,64.82,,non_exchange_bond
XS0800817073,Veb Finance plc 6.025 05/07/22,VEB-22,Veb Finance plc 6.025 05/07/22,1000.0,USD,2012-07-05,XS0800817073,1000000,stock_bonds,2022-07-05,30.125,,corporate_bond
RU000A0ZZE20,Сбербанк ПАО БО 001P-16R,СберБ Б16R,Sberbank BO 001P-16R,1000.0,SUR,2018-07-25,RU000A0ZZE20,40000000,stock_bonds,2023-01-18,37.4,,exchange_bond
RU000A101S65,Банк ВТБ (ПАО) Б-1-75,ВТБ Б-1-75,Bank VTB B-1-75,1000.0,SUR,2020-06-09,RU000A101S65,168828,stock_bonds,2023-06-06,0.05,,exchange_bond
RU000A1036X6,Вита Лайн 001Р-03,ВитаЛ 1Р03,Vita Line 001P-03,1000.0,SUR,2021-06-03,RU000A1036X6,600000,stock_bonds,2025-05-29,24.93,,exchange_bond
RU000A0ZZMB1,Сбербанк ПАО ИОС 001P-23R,СберИОС23,Sberbank IOS 001P-23R,1000.0,SUR,2018-09-27,RU000A0ZZMB1,1317762,stock_bonds,2022-03-24,0.35,,exchange_bond
